ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	description
ENSDARG00000110497	224.6719485	-7.217592006	0.467969016	-15.42322622	1.14E-53	1.50E-49	sox19a	SRY-box transcription factor 19a [Source:NCBI gene;Acc:30038]
ENSDARG00000056248	60974.4991	-0.900850114	0.068662938	-13.11988887	2.53E-39	9.49E-36	si:dkey-183i3.5	si:dkey-183i3.5 [Source:ZFIN;Acc:ZDB-GENE-030131-8568]
ENSDARG00000112677	296.9604846	-2.426513936	0.186585421	-13.00484207	1.15E-38	3.01E-35	thy1	Thy-1 cell surface antigen [Source:ZFIN;Acc:ZDB-GENE-030131-8561]
ENSDARG00000110763	318.4678757	-11.75303937	1.027588295	-11.4374983	2.72E-30	3.10E-27	mrps31	mitochondrial ribosomal protein S31 [Source:ZFIN;Acc:ZDB-GENE-030131-3715]
ENSDARG00000111053	593.4701217	-4.268393781	0.376783772	-11.32849688	9.48E-30	1.04E-26	si:ch211-114c12.2	si:ch211-114c12.2 [Source:ZFIN;Acc:ZDB-GENE-030131-8522]
ENSDARG00000113850	436.6420211	-1.096774916	0.109141995	-10.04906423	9.27E-24	8.39E-21	crx	cone-rod homeobox [Source:ZFIN;Acc:ZDB-GENE-010403-1]
ENSDARG00000035569	579.7837447	-0.846524	0.08586669	-9.858584258	6.29E-23	5.00E-20	cyp1d1	"cytochrome P450, family 1, subfamily D, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-041114-179]"
ENSDARG00000113792	106.4601127	-10.18480037	1.039578689	-9.797046121	1.16E-22	8.69E-20	trmt2a	tRNA methyltransferase 2 homolog A [Source:ZFIN;Acc:ZDB-GENE-030131-6876]
ENSDARG00000059846	270.3802831	-2.233936026	0.23150996	-9.649416477	4.94E-22	3.33E-19	epg5	ectopic P-granules autophagy protein 5 homolog (C. elegans) [Source:NCBI gene;Acc:569543]
ENSDARG00000116482	149.899265	-9.953550015	1.037269079	-9.595918957	8.32E-22	5.46E-19	si:ch211-106a19.1	si:ch211-106a19.1 [Source:ZFIN;Acc:ZDB-GENE-060526-3]
ENSDARG00000022832	909.4024241	-1.082391971	0.114004082	-9.494326476	2.22E-21	1.32E-18	bnip4	BCL2 interacting protein 4 [Source:ZFIN;Acc:ZDB-GENE-051113-212]
ENSDARG00000056386	183.4695509	-2.303172239	0.243200584	-9.470257856	2.79E-21	1.63E-18	TMC1	transmembrane channel-like 1 [Source:NCBI gene;Acc:567237]
ENSDARG00000035018	940.9580534	-1.138577113	0.129623738	-8.783708384	1.58E-18	6.92E-16	thy1	Thy-1 cell surface antigen [Source:ZFIN;Acc:ZDB-GENE-030131-8561]
ENSDARG00000116375	65.08624295	-8.749909358	1.049136166	-8.340108408	7.42E-17	2.78E-14	si:ch211-137i24.10	si:ch211-137i24.10 [Source:ZFIN;Acc:ZDB-GENE-060526-34]
